i,name,file,seeds,d,m,min,max,region,family,reviewed
419,Dadeldhuri Doteli,namebases-asia.js,41,lnrt,0,4,11,None,None,[ ]
420,Ennese,namebases-europe.js,50,cltr,0,4,11,Europe,Sicilian,[ ]
421,Eonavian,namebases-europe.js,50,lr,0,4,11,Europe,Galician,[ ]
423,Estremenho,namebases-europe.js,50,lrs,0,4,11,Europe,Portuguese,[ ]
424,European Portuguese,namebases-europe.js,50,lrs,0,4,11,Europe,Portuguese,[ ]
425,Extremaduran,namebases-europe.js,50,lr,0,4,11,Europe,Astur-Leonese,[ ]
426,Fabriano,namebases-europe.js,50,cltr,0,4,11,Europe,Central Italian,[ ]
427,Faetar,namebases-europe.js,50,nlrs,0,4,11,Europe,Arpitan,[ ]
428,Fala,namebases-europe.js,50,lr,0,4,11,Europe,Galician,[ ]
429,Ferrarese,namebases-europe.js,50,lnrt,0,4,11,Europe,Emilian-Romagnol,[ ]
430,Fiuman,namebases-europe.js,50,cltr,0,4,11,Europe,Venetian,[ ]
431,Florentine,namebases-europe.js,50,cltr,0,4,11,Europe,Tuscan,[ ]
432,Forlivese,namebases-europe.js,50,lnrt,0,4,11,Europe,Emilian-Romagnol,[ ]
433,Fornes,namebases-europe.js,50,lnr,0,4,11,Europe,Friulian,[ ]
434,Franco-Italian,namebases-europe.js,50,l,0,4,11,Europe,Mixed,[ ]
436,Franco-Provençal,namebases-europe.js,50,nlrs,0,4,11,Europe,Arpitan,[ ]
437,Angolar São Tomé,namebases-africa.js,47,lnr,0,5,11,None,None,[ ]
439,Galician,namebases-europe.js,50,lr,0,4,11,Europe,Galician,[ ]
440,Galician-Asturian,namebases-europe.js,50,lr,0,4,11,Europe,Galician,[ ]
441,Gallo-Italic of Basilicata,namebases-europe.js,50,lnrt,0,4,11,Europe,Gallo-Italic,[ ]
442,Gallo-Italic of Sicily,namebases-europe.js,50,lnrt,0,4,11,Europe,Gallo-Italic,[ ]
443,Gallo-Picene,namebases-europe.js,50,lnrt,0,4,11,Europe,Gallo-Italic,[ ]
444,Gallurese,namebases-europe.js,50,cltr,0,4,11,Europe,Corsican,[ ]
445,Gardiol,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
446,Gascon,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
447,Genoese,namebases-europe.js,50,cltr,0,4,11,Europe,Ligurian,[ ]
448,Grossetano,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
449,Haketia,namebases-europe.js,50,lr,0,4,11,Europe,Judeo-Spanish,[ ]
450,Intemelio,namebases-europe.js,50,cltr,0,4,11,Europe,Ligurian,[ ]
451,Istriot,namebases-europe.js,50,lnrt,0,4,11,Europe,Istriot,[ ]
453,Jauer,namebases-europe.js,50,nld,0,4,11,Europe,Romansh,[ ]
454,Annobonese Palé,namebases-africa.js,47,lnr,0,5,11,None,None,[ ]
456,Judeo-Catalan,namebases-europe.js,50,lnrs,0,4,11,Europe,Judeo-Catalan,[ ]
457,Judeo-Gascon,namebases-europe.js,50,lnrs,0,4,11,Europe,Judeo-Occitan,[ ]
462,Judeo-ProvenÃ§al,namebases-africa.js,47,lnrt,0,4,11,None,None,[ ]
466,Landese,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
467,Languedocien,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
468,Latin,namebases-europe.js,50,lnrs,0,4,11,Europe,Romance,[ ]
469,Leonese,namebases-europe.js,50,lr,0,4,11,Europe,Astur-Leonese,[ ]
470,Ligurian,namebases-europe.js,50,cltr,0,4,11,Europe,Ligurian,[ ]
471,Limousin,namebases-europe.js,50,lnrt,0,4,11,Europe,Dialects,[ ]
